a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
